sample_id,stage,sex,condition,replicate,batch,dataset,lane,run_accession
SM_ADUL_FEM_SING_RNA_B2,adult,female,single_sex,,B2,PRJEB14695,single,ERR506115
SM_ADUL_FEM_SING_RNA_B2,adult,female,single_sex,,B2,PRJEB14695,single,ERR506117
SM_ADUL_FEM_SING_RNA_B2,adult,female,single_sex,,B2,PRJEB14695,single,ERR667049
SM_ADUL_FEM_MIXE_RNA_B2,adult,female,mixed_sex,,B2,PRJEB14695,single,ERR667053
SM_ADUL_MAL_SING_RNA_B2,adult,male,single_sex,,B2,PRJEB14695,single,ERR667056
SM_ADUL_MAL_MIXE_RNA_B2,adult,male,mixed_sex,,B2,PRJEB14695,single,ERR667060
SM_ADUL_FEM_MIXE_RNA_B2,adult,female,mixed_sex,,B2,PRJEB14695,single,ERR667061
SM_ADUL_MAL_SING_RNA_B2,adult,male,single_sex,,B2,PRJEB14695,single,ERR667065
SM_ADUL_FEM_MIXE_RNA_B2,adult,female,mixed_sex,,B2,PRJEB14695,single,ERR667076
SM_ADUL_FEM_MIXE_RNA_B2,adult,female,mixed_sex,,B2,PRJEB14695,single,ERR667077
SM_ADUL_MAL_SING_RNA_B2,adult,male,single_sex,,B2,PRJEB14695,single,ERR667087
SM_ADUL_MAL_SING_RNA_B2,adult,male,single_sex,,B2,PRJEB14695,single,ERR667089
SM_ADUL_MAL_SING_RNA_B2,adult,male,single_sex,,B2,PRJEB14695,single,ERR667091
SM_ADUL_MAL_MIXE_RNA_B2,adult,male,mixed_sex,,B2,PRJEB14695,single,ERR667092
SM_ADUL_FEM_SING_RNA_B2,adult,female,single_sex,,B2,PRJEB14695,single,ERR667094
SM_ADUL_FEM_MIXE_RNA_B2,adult,female,mixed_sex,,B2,PRJEB14695,single,ERR667099
SM_ADUL_FEM_MIXE_RNA_B2,adult,female,mixed_sex,,B2,PRJEB14695,single,ERR667100
SM_ADUL_FEM_MIXE_RNA_B2,adult,female,mixed_sex,,B2,PRJEB14695,single,ERR667102
SM_ADUL_MAL_SING_RNA_B2,adult,male,single_sex,,B2,PRJEB14695,single,ERR667104
SM_ADUL_MAL_MIXE_RNA_B2,adult,male,mixed_sex,,B2,PRJEB14695,single,ERR667105
SM_ADUL_MAL_MIXE_RNA_B2,adult,male,mixed_sex,,B2,PRJEB14695,single,ERR667108
SM_ADUL_FEM_MIXE_RNA_B2,adult,female,mixed_sex,,B2,PRJEB14695,single,ERR667109
SM_ADUL_MAL_SING_RNA_B2,adult,male,single_sex,,B2,PRJEB14695,single,ERR667111
SM_ADUL_MAL_MIXE_RNA_B2,adult,male,mixed_sex,,B2,PRJEB14695,single,ERR667116
SM_ADUL_FEM_SING_RNA_B2,adult,female,single_sex,,B2,PRJEB14695,single,ERR667117
SM_ADUL_FEM_SING_RNA_B2,adult,female,single_sex,,B2,PRJEB14695,single,ERR667119
SM_ADUL_FEM_SING_RNA_B2,adult,female,single_sex,,B2,PRJEB14695,single,ERR667121
SM_ADUL_FEM_MIXE_RNA_B2,adult,female,mixed_sex,,B2,PRJEB14695,single,ERR667123
SM_ADUL_FEM_MIXE_RNA_B2,adult,female,mixed_sex,,B2,PRJEB14695,single,ERR667124
SM_ADUL_FEM_MIXE_RNA_B2,adult,female,mixed_sex,,B2,PRJEB14695,single,ERR667126
